Model,Prompt Type,Run ID,Started At,Ended At,Total Hours,Accuracy,Precision,Recall,F1
phi4:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_phi4:14b_2025-03-05,2025-03-05 21:50:19.655641,2025-03-09 00:02:20.366968,74.2,26.065211118591904,39.0227512719593,43.976848596310916,41.3519493400473
phi4:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_phi4:14b_2025-02-26,2025-02-26 11:15:07.378787,2025-03-04 14:07:52.828333,146.86666666666667,21.900513760006373,55.9466883711466,26.464218682323498,35.93178254051229
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_gemma2:9b-instruct-q5_K_M_2025-02-21,2025-02-21 11:02:48.834301,2025-02-21 17:27:31.090938,6.416666666666667,24.91304869273207,35.04576321228225,46.28453654188948,39.88862485298
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_gemma2:9b-instruct-q5_K_M_2025-02-24,2025-02-24 13:27:04.156106,2025-02-26 03:05:27.125962,37.63333333333333,24.314093634546666,34.55860198855077,45.0611740936132,39.11719568341819
falcon3:10b-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_falcon3:10b-instruct-q8_0_2025-02-20,2025-02-20 13:04:33.277850,2025-02-20 22:43:04.022939,9.65,1.1418513336643046,90.0355871886121,1.1432961272538298,2.257920571173583
falcon3:10b-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_falcon3:10b-instruct-q8_0_2025-02-19,2025-02-19 09:56:21.225515,2025-02-19 19:14:22.797892,9.3,3.2990246752663044,79.35135135135135,3.3275908967268113,6.387329765478832
qwen2.5:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_qwen2.5:14b_2025-02-14,2025-02-14 10:17:35.249098,2025-02-19 08:16:17.462031,117.98333333333333,17.183195592286502,70.71744906997343,18.499467074470548,29.327064354980898
qwen2.5:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_qwen2.5:14b_2025-02-13,2025-02-13 14:32:36.737436,2025-02-13 23:50:27.974971,9.3,10.620864916969722,69.83578219533275,11.131520940484938,19.20228145918327
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2025-02-11,2025-02-11 09:35:00.552173,2025-02-13 03:04:09.224585,41.483333333333334,8.951072527287286,46.28459359337546,9.988713318284423,16.431361930917106
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_phi3.5:3.8b-mini-instruct-q8_0_2025-02-09,2025-02-09 12:48:51.791519,2025-02-11 02:14:40.646997,37.43333333333333,7.790543715030111,48.30508474576271,8.499137971203579,14.454966913658518
falcon3:10b-instruct-q8_0,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_falcon3:10b-instruct-q8_0_2025-04-09,2025-04-09 17:51:20.790302,2025-04-10 03:18:01.204906,9.45,3.2734332671121544,87.98543689320388,3.2881309809968706,6.339352074498317
gemma2:9b-instruct-q5_K_M,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_gemma2:9b-instruct-q5_K_M_2025-04-07,2025-04-07 09:52:56.532890,2025-04-08 21:03:11.350814,35.18333333333333,34.36427668412498,66.85111989459816,41.422662457820834,51.15091232904332
qwen2.5:14b,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_qwen2.5:14b_2025-04-06,2025-04-06 13:53:54.402646,2025-04-07 03:24:29.199796,13.516666666666667,10.804587321654326,85.83213773314203,11.000781501402106,19.50205778085653
phi3.5:3.8b-mini-instruct-q8_0,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2025-04-04,2025-04-04 12:22:23.861896,2025-04-06 05:31:29.835033,41.15,6.975799169225212,68.27220503756077,7.209519365375641,13.04182669986916
phi4:14b,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_phi4:14b_2025-04-20,2025-04-20 19:03:24.915483,2025-04-26 20:16:15.569756,145.21666666666667,32.770453314068995,69.48114110664369,38.28059071729958,49.36407535877032
