Model,Prompt Type,Run ID,Started At,Ended At,Total Hours,Accuracy,Precision,Recall,F1
phi4:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_phi4:14b_2025-03-05,2025-03-05 21:50:19.655641,2025-03-09 00:02:20.366968,74.2,35.37859007832898,39.0227512719593,43.976848596310916,41.3519493400473
phi4:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_phi4:14b_2025-02-26,2025-02-26 11:15:07.378787,2025-03-04 14:07:52.828333,146.86666666666667,52.40636614886115,55.9466883711466,26.464218682323498,35.93178254051229
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_gemma2:9b-instruct-q5_K_M_2025-02-21,2025-02-21 11:02:48.834301,2025-02-21 17:27:31.090938,6.416666666666667,31.851113581477364,35.04576321228225,46.28453654188948,39.88862485298
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_gemma2:9b-instruct-q5_K_M_2025-02-24,2025-02-24 13:27:04.156106,2025-02-26 03:05:27.125962,37.63333333333333,31.401306269310492,34.55860198855077,45.0611740936132,39.11719568341819
falcon3:10b-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_falcon3:10b-instruct-q8_0_2025-02-20,2025-02-20 13:04:33.277850,2025-02-20 22:43:04.022939,9.65,87.5432525951557,90.0355871886121,1.1432961272538298,2.257920571173583
falcon3:10b-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_falcon3:10b-instruct-q8_0_2025-02-19,2025-02-19 09:56:21.225515,2025-02-19 19:14:22.797892,9.3,77.26315789473685,79.35135135135135,3.3275908967268113,6.387329765478832
qwen2.5:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_qwen2.5:14b_2025-02-14,2025-02-14 10:17:35.249098,2025-02-19 08:16:17.462031,117.98333333333333,68.13449394094555,70.71744906997343,18.499467074470548,29.327064354980898
qwen2.5:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_qwen2.5:14b_2025-02-13,2025-02-13 14:32:36.737436,2025-02-13 23:50:27.974971,9.3,66.28383921246925,69.83578219533275,11.131520940484938,19.20228145918327
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2025-02-11,2025-02-11 09:35:00.552173,2025-02-13 03:04:09.224585,41.483333333333334,42.15122048025402,46.28459359337546,9.988713318284423,16.431361930917106
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_phi3.5:3.8b-mini-instruct-q8_0_2025-02-09,2025-02-09 12:48:51.791519,2025-02-11 02:14:40.646997,37.43333333333333,44.3579766536965,48.30508474576271,8.499137971203579,14.454966913658518
