EMBEDDING_MODEL,SIMILARITY_METRIC,DATASET,d1 ids without match,top_1_recall,top_1_precision,top_2_recall,top_2_precision,top_3_recall,top_3_precision,top_4_recall,top_4_precision,top_5_recall,top_5_precision,EMBEDDINGS_GENERATION_TIME
llmrails/ember-v1,cosine,D2,12,0.7969924812030075,0.8,0.9069548872180451,0.16129032258064516,0.9276315789473685,0.15706556333545513,0.9417293233082706,0.1511768255884128,0.9483082706766918,0.14332386363636362,1.58 minutes
llmrails/ember-v1,euclidian,D2,12,0.7922932330827067,0.7952830188679245,0.8994360902255639,0.16108399259383943,0.9257518796992481,0.15694710006373486,0.9370300751879699,0.15087772397094432,0.9464285714285714,0.14314143567874912,1.58 minutes
dunzhang/stella_en_1.5B_v5,cosine,D2,12,0.8533834586466166,0.8566037735849057,0.9154135338345865,0.1615524962680378,0.9351503759398496,0.15761127831458893,0.9454887218045113,0.15139202407825433,0.9483082706766918,0.14334422503196476,3.16 minutes
dunzhang/stella_en_1.5B_v5,euclidian,D2,12,0.7321428571428571,0.7349056603773585,0.8533834586466166,0.16,0.8843984962406015,0.15561435422523565,0.9135338345864662,0.14993058769088385,0.924812030075188,0.14166426720414627,3.16 minutes
intfloat/e5-mistral-7b-instruct,cosine,D2,12,0.7828947368421053,0.7858490566037736,0.8956766917293233,0.16155280556026444,0.9238721804511278,0.1573303457106274,0.9342105263157895,0.15090329436769395,0.9379699248120301,0.14257142857142857,2.48 hours
intfloat/e5-mistral-7b-instruct,euclidian,D2,12,0.7828947368421053,0.7858490566037736,0.8956766917293233,0.16155280556026444,0.9238721804511278,0.1573303457106274,0.9342105263157895,0.15090329436769395,0.9379699248120301,0.14257142857142857,2.48 hours
BAAI/bge-m3,cosine,D2,12,0.8280075187969925,0.8311320754716981,0.9050751879699248,0.1615229788661523,0.9285714285714286,0.15722469764481223,0.943609022556391,0.1513415737111848,0.9483082706766918,0.1433849651840273,5.27 minutes
BAAI/bge-m3,euclidian,D2,12,0.8289473684210527,0.8320754716981132,0.9050751879699248,0.1615229788661523,0.9285714285714286,0.15722469764481223,0.943609022556391,0.1513415737111848,0.9483082706766918,0.1433849651840273,5.27 minutes
xlm-roberta-large,cosine,D2,12,0.29041353383458646,0.29150943396226414,0.46710526315789475,0.13672627235213206,0.6118421052631579,0.13676470588235295,0.7274436090225563,0.13583713583713583,0.7988721804511278,0.13101109741060418,2.76 minutes
xlm-roberta-large,euclidian,D2,12,0.28853383458646614,0.28962264150943395,0.46522556390977443,0.13655172413793104,0.6118421052631579,0.13676470588235295,0.7255639097744361,0.13565278509927955,0.799812030075188,0.13112480739599383,2.76 minutes
Qwen2.5-7B,cosine,D2,12,0.29041353383458646,0.29150943396226414,0.46710526315789475,0.13672627235213206,0.6118421052631579,0.13676470588235295,0.7274436090225563,0.13583713583713583,0.7988721804511278,0.13101109741060418,3.54 minutes
Qwen2.5-7B,euclidian,D2,12,0.28853383458646614,0.28962264150943395,0.46522556390977443,0.13655172413793104,0.6118421052631579,0.13676470588235295,0.7255639097744361,0.13565278509927955,0.799812030075188,0.13112480739599383,3.54 minutes
