EMBEDDING_MODEL,SIMILARITY_METRIC,DATASET,d1 ids without match,top_1_recall,top_1_precision,top_1_f1,top_2_recall,top_2_precision,top_2_f1,top_3_recall,top_3_precision,top_3_f1,top_4_recall,top_4_precision,top_4_f1,top_5_recall,top_5_precision,top_5_f1,use_task,EMBEDDINGS_GENERATION_TIME
sentence-transformers/all-MiniLM-L12-v2,cosine,D3,251,0.6143375680580763,0.6171376481312671,0.6157344247385176,0.7568058076225045,0.38327205882352944,0.5088468578401465,0.8284936479128857,0.2836284560422491,0.42258736403610275,0.8575317604355717,0.22489290813898144,0.3563348416289593,0.8856624319419237,0.19084865076261243,0.314028314028314,False,23.04 minutes
sentence-transformers/all-MiniLM-L12-v2,euclidian,D3,251,0.6143375680580763,0.6171376481312671,0.6157344247385176,0.7568058076225045,0.38327205882352944,0.5088468578401465,0.8284936479128857,0.2836284560422491,0.42258736403610275,0.8575317604355717,0.22489290813898144,0.3563348416289593,0.8856624319419237,0.19084865076261243,0.314028314028314,False,23.04 minutes
sentence-transformers/all-MiniLM-L6-v2,cosine,D3,251,0.5980036297640653,0.6007292616226071,0.5993633469758981,0.7495462794918331,0.3795955882352941,0.5039658328248933,0.8176043557168784,0.27990059024541786,0.41703309419115947,0.8566243194192378,0.22465492622560684,0.3559577677224736,0.8820326678765881,0.19006648416112631,0.3127413127413127,False,20.79 minutes
sentence-transformers/all-MiniLM-L6-v2,euclidian,D3,251,0.5980036297640653,0.6007292616226071,0.5993633469758981,0.7495462794918331,0.3795955882352941,0.5039658328248933,0.8176043557168784,0.27990059024541786,0.41703309419115947,0.8566243194192378,0.22465492622560684,0.3559577677224736,0.8820326678765881,0.19006648416112631,0.3127413127413127,False,20.79 minutes
Alibaba-NLP/gte-Qwen2-7B-instruct,cosine,D3,251,0.7223230490018149,0.7256153144940748,0.7239654388358345,0.8393829401088929,0.4250919117647059,0.5643685173886516,0.8901996370235935,0.3047530288909599,0.4540615598241147,0.9101633393829401,0.23869585911470728,0.3782051282051282,0.9219600725952813,0.1986703167774736,0.32689832689832693,False,5.28 hours
Alibaba-NLP/gte-Qwen2-7B-instruct,euclidian,D3,251,0.7223230490018149,0.7256153144940748,0.7239654388358345,0.8393829401088929,0.4250919117647059,0.5643685173886516,0.8901996370235935,0.3047530288909599,0.4540615598241147,0.9101633393829401,0.23869585911470728,0.3782051282051282,0.9219600725952813,0.1986703167774736,0.32689832689832693,False,5.28 hours
llmrails/ember-v1,cosine,D3,251,0.6488203266787659,0.6517775752051048,0.6502955889040473,0.8003629764065335,0.4053308823529412,0.5381330079316656,0.8502722323049002,0.29108418763591176,0.4336959037259894,0.8802177858439202,0.23084245597334602,0.3657616892911011,0.8938294010889292,0.1926085256159562,0.3169240669240669,False,3.41 minutes
llmrails/ember-v1,euclidian,D3,251,0.6515426497277677,0.6545123062898814,0.6530241018644838,0.7903811252268602,0.40027573529411764,0.5314215985356926,0.8466424682395645,0.2898415657036347,0.4318444804443416,0.8738656987295825,0.22917658257972395,0.3631221719457014,0.8920145190562614,0.19221744231521315,0.3162805662805663,False,3.41 minutes
Salesforce/SFR-Embedding-Mistral,cosine,D3,251,0.7087114337568058,0.7119416590701915,0.7103228740336517,0.8448275862068966,0.42784926470588236,0.5680292861500915,0.8947368421052632,0.3063063063063063,0.45637583892617445,0.911070780399274,0.23893384102808188,0.3785822021116139,0.9183303085299456,0.1978881501759875,0.3256113256113256,False,6.48 hours
Salesforce/SFR-Embedding-Mistral,euclidian,D3,251,0.7096188747731398,0.7128532360984503,0.7112323783537972,0.852994555353902,0.4319852941176471,0.5735204392922515,0.895644283121597,0.3066169617893756,0.4568386947465865,0.9083484573502723,0.23821989528795812,0.37745098039215685,0.9183303085299456,0.1978881501759875,0.3256113256113256,False,6.48 hours
