EMBEDDING_MODEL,SIMILARITY_METRIC,DATASET,d1 ids without match,top_1_recall,top_1_precision,top_1_f1,top_2_recall,top_2_precision,top_2_f1,top_3_recall,top_3_precision,top_3_f1,top_4_recall,top_4_precision,top_4_f1,top_5_recall,top_5_precision,top_5_f1,use_task,EMBEDDINGS_GENERATION_TIME
sentence-transformers/all-MiniLM-L12-v2,cosine,D2,12,0.7011278195488722,0.7037735849056603,0.7024482109227872,0.8345864661654135,0.4269230769230769,0.5648854961832062,0.8759398496240601,0.30748927746618276,0.4551892551892552,0.9060150375939849,0.24896694214876033,0.39059967585089145,0.924812030075188,0.2140526430280618,0.34764175940646536,False,0.28 minutes
sentence-transformers/all-MiniLM-L12-v2,euclidian,D2,12,0.7011278195488722,0.7037735849056603,0.7024482109227872,0.8345864661654135,0.4269230769230769,0.5648854961832062,0.8759398496240601,0.30748927746618276,0.4551892551892552,0.9060150375939849,0.24896694214876033,0.39059967585089145,0.924812030075188,0.2140526430280618,0.34764175940646536,False,0.28 minutes
sentence-transformers/all-MiniLM-L6-v2,cosine,D2,12,0.6409774436090225,0.6433962264150943,0.6421845574387948,0.7922932330827067,0.40528846153846154,0.5362595419847329,0.8637218045112782,0.30320026393929395,0.44884004884004886,0.8975563909774437,0.24664256198347106,0.38695299837925445,0.9191729323308271,0.21274744398520776,0.3455219925808161,False,0.15 minutes
sentence-transformers/all-MiniLM-L6-v2,euclidian,D2,12,0.6409774436090225,0.6433962264150943,0.6421845574387948,0.7922932330827067,0.40528846153846154,0.5362595419847329,0.8637218045112782,0.30320026393929395,0.44884004884004886,0.8975563909774437,0.24664256198347106,0.38695299837925445,0.9191729323308271,0.21274744398520776,0.3455219925808161,False,0.15 minutes
llmrails/ember-v1,cosine,D2,12,0.7969924812030075,0.8,0.7984934086629003,0.9069548872180451,0.4639423076923077,0.6138676844783715,0.9276315789473685,0.325635103926097,0.48205128205128206,0.9417293233082706,0.2587809917355372,0.4059967585089141,0.9483082706766918,0.21949097237328694,0.35647412118000354,False,0.66 minutes
llmrails/ember-v1,euclidian,D2,12,0.7922932330827067,0.7952830188679245,0.7937853107344632,0.8994360902255639,0.4600961538461538,0.6087786259541985,0.9257518796992481,0.324975255691191,0.48107448107448103,0.9370300751879699,0.2574896694214876,0.40397082658022687,0.9464285714285714,0.2190559060256689,0.35576753223812047,False,0.66 minutes
dunzhang/stella_en_1.5B_v5,cosine,D2,12,0.8533834586466166,0.8566037735849057,0.8549905838041432,0.9154135338345865,0.46826923076923077,0.6195928753180662,0.9351503759398496,0.3282744968657209,0.48595848595848595,0.9454887218045113,0.25981404958677684,0.40761750405186387,0.9483082706766918,0.21949097237328694,0.35647412118000354,False,1.76 minutes
dunzhang/stella_en_1.5B_v5,euclidian,D2,12,0.7321428571428571,0.7349056603773585,0.7335216572504707,0.8533834586466166,0.43653846153846154,0.5776081424936387,0.8843984962406015,0.31045859452325963,0.4595848595848595,0.9135338345864662,0.2510330578512397,0.39384116693679094,0.924812030075188,0.2140526430280618,0.34764175940646536,False,1.76 minutes
BAAI/bge-m3,cosine,D2,12,0.8242481203007519,0.8273584905660377,0.8258003766478342,0.9050751879699248,0.46298076923076925,0.6125954198473282,0.9276315789473685,0.325635103926097,0.48205128205128206,0.943609022556391,0.259297520661157,0.4068071312803889,0.9483082706766918,0.21949097237328694,0.35647412118000354,False,1.31 minutes
BAAI/bge-m3,euclidian,D2,12,0.8242481203007519,0.8273584905660377,0.8258003766478342,0.9050751879699248,0.46298076923076925,0.6125954198473282,0.9276315789473685,0.325635103926097,0.48205128205128206,0.943609022556391,0.259297520661157,0.4068071312803889,0.9483082706766918,0.21949097237328694,0.35647412118000354,False,1.31 minutes
infgrad/Jasper-Token-Compression-600M,cosine,D2,12,0.8280075187969925,0.8311320754716981,0.8295668549905838,0.9069548872180451,0.4639423076923077,0.6138676844783715,0.9266917293233082,0.325305179808644,0.4815628815628815,0.9389097744360902,0.2580061983471074,0.40478119935170176,0.9473684210526315,0.21927343919947792,0.35612082670906203,False,1.54 minutes
infgrad/Jasper-Token-Compression-600M,euclidian,D2,12,0.8289473684210527,0.8320754716981132,0.8305084745762712,0.9060150375939849,0.4634615384615385,0.6132315521628499,0.9257518796992481,0.324975255691191,0.48107448107448103,0.9389097744360902,0.2580061983471074,0.40478119935170176,0.9473684210526315,0.21927343919947792,0.35612082670906203,False,1.54 minutes
Octen/Octen-Embedding-4B,cosine,D2,12,0.7941729323308271,0.7971698113207547,0.7956685499058381,0.8900375939849624,0.45528846153846153,0.6024173027989822,0.9191729323308271,0.32266578686902014,0.4776556776556777,0.9342105263157895,0.25671487603305787,0.4027552674230146,0.9426691729323309,0.2181857733304329,0.3543543543543544,False,7.55 minutes
Octen/Octen-Embedding-4B,euclidian,D2,12,0.7960526315789473,0.7990566037735849,0.7975517890772127,0.8881578947368421,0.4543269230769231,0.601145038167939,0.9191729323308271,0.32266578686902014,0.4776556776556777,0.9342105263157895,0.25671487603305787,0.4027552674230146,0.9426691729323309,0.2181857733304329,0.3543543543543544,False,7.55 minutes
nvidia/Nemotron-3-Embed-1B-BF16,cosine,D2,12,0.5225563909774437,0.5245283018867924,0.5235404896421846,0.6954887218045113,0.3557692307692308,0.47073791348600513,0.7913533834586466,0.27779610689541406,0.4112332112332112,0.8477443609022557,0.23295454545454544,0.3654781199351702,0.8853383458646616,0.20491624972808353,0.332803391626921,False,1.81 minutes
nvidia/Nemotron-3-Embed-1B-BF16,euclidian,D2,12,0.525375939849624,0.5273584905660378,0.5263653483992468,0.6992481203007519,0.3576923076923077,0.4732824427480916,0.7904135338345865,0.2774661827779611,0.4107448107448108,0.849624060150376,0.2334710743801653,0.36628849270664504,0.8862781954887218,0.20513378290189255,0.3331566860978626,False,1.81 minutes
jinaai/jina-embeddings-v5-omni-small,cosine,D2,12,0.8233082706766918,0.8264150943396227,0.8248587570621471,0.8994360902255639,0.4600961538461538,0.6087786259541985,0.9276315789473685,0.325635103926097,0.48205128205128206,0.9379699248120301,0.2577479338842975,0.40437601296596437,0.943609022556391,0.2184033065042419,0.3547076488252959,False,3.92 minutes
jinaai/jina-embeddings-v5-omni-small,euclidian,D2,12,0.8233082706766918,0.8264150943396227,0.8248587570621471,0.900375939849624,0.46057692307692305,0.6094147582697201,0.9276315789473685,0.325635103926097,0.48205128205128206,0.9379699248120301,0.2577479338842975,0.40437601296596437,0.943609022556391,0.2184033065042419,0.3547076488252959,False,3.92 minutes
Qwen/Qwen3-Embedding-4B,cosine,D2,12,0.8148496240601504,0.8179245283018868,0.8163841807909604,0.8975563909774437,0.45913461538461536,0.6075063613231552,0.9276315789473685,0.325635103926097,0.48205128205128206,0.9398496240601504,0.25826446280991733,0.4051863857374392,0.9473684210526315,0.21927343919947792,0.35612082670906203,False,7.58 minutes
